1st chord	2nd chord	3rd chord	4th chord	Progression Quality
4	1	5	Alternative	
4	1	5	Catchy	
1	1	1	Didgeridoo	
6	4	5	Dreadful	
6	2	5	Dreadful	
6	2	4	Endless	
3	4	6	Energetic	
5	1	4	Folk	
6	1	4	Folk	
5	4	3	Flamenco	
5	6	5	Flamenco	
4	3	6	Grunge	
5	1	6	Jazz	
4	5	4	Love	
4	1	5	Memories	
5	6	4	Pop	
6	3	7	Pop	
1	4	5	Rebellious	
4	5	5	Sad	
5	4	4	Sad	
4	5	4	Sad	
4	1	1	Sweet	
4	1	4	Simple	
5	5	1	Simple	
4	1	4	Wildside	
1	4	6	Wistful	
1	5	7	Moody	
1	7	6	Moody	
